,p_HC_DP,p_HC_DP
avg DF0,0.706488,-0.010891
avg DDF0,0.773577,0.015406
avg Jitter,0.399354,0.020604
avg Shimmer,0.885708,0.009167
avg apq,0.883105,0.001726
avg ppq,0.021116,-0.022151
avg logE,0.746908,-0.014797
std DF0,0.000589,-0.053681
std DDF0,0.000721,-0.05532
std Jitter,0.005153,-0.030587
std Shimmer,0.499863,-0.008763
std apq,0.353508,-0.025572
std ppq,0.001279,-0.043427
std logE,0.009332,-0.050577
skewness DF0,0.0296,-0.03665
skewness DDF0,0.01807,0.02921
skewness Jitter,0.004513,-0.070643
skewness Shimmer,0.000122,-0.057762
skewness apq,0.039151,-0.020401
skewness ppq,0.145207,-0.029183
skewness logE,0.12388,0.025692
kurtosis DF0,0.000843,-0.084055
kurtosis DDF0,0.000939,-0.057161
kurtosis Jitter,0.00803,-0.072871
kurtosis Shimmer,7.7e-05,-0.053017
kurtosis apq,0.178671,0.000775
kurtosis ppq,0.178698,-0.020716
kurtosis logE,0.048246,0.039499
